University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
University of Western Australia,Bachelor of Science (Geology),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Technology Sydney,Bachelor of Design in Animation,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Macquarie University,Bachelor of Science (Cognitive and Brain Sciences),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of New South Wales,Bachelor of Economics (Financial Economics),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of Tasmania,Bachelor of Science (Biochemistry and Molecular Biology),Bachelor,Full-time,On Campus,"Hobart, Tasmania",32000,3
CQUniversity,Bachelor of Aviation (Commercial Pilot),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",29000,3
Murdoch University,Bachelor of Forensic Science (Crime Scene Investigation),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Southern Cross University,Bachelor of Legal and Justice Studies,Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
Australian National University,Bachelor of Philosophy (Honours) - Science,Bachelor,Full-time,On Campus,"Canberra, ACT",35000,4
University of Newcastle,Bachelor of Music,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",32000,3
University of Canberra,Bachelor of Graphic Design,Bachelor,Full-time,On Campus,"Canberra, ACT",31000,3
Griffith University,Bachelor of Human Services,Bachelor,Full-time,On Campus,"Brisbane, Queensland",31000,3
University of Western Australia,Bachelor of Music (Honours),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,4
James Cook University,Bachelor of Science (Zoology and Ecology),Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,3
Murdoch University,Bachelor of Criminology and Bachelor of Global Security,Bachelor,Full-time,On Campus,"Perth, Western Australia",15568,4
University of Newcastle,Bachelor of Psychological Science - Bachelor of Business,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",41775,4
Charles Darwin University,Bachelor of Business,Bachelor,Full-time,On Campus,"Darwin, Northern Territory",28376,3
University of New South Wales,Bachelor of Environmental Management - Bachelor of Arts,Bachelor,Full-time,Blended,"Kensington, New South Wales",9500,4  8 month
University of Newcastle,Bachelor of Surveying (Honours) - Bachelor of Business,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",40170,5
University of Southern Queensland,Bachelor of Arts and Bachelor of Business,Bachelor,Full-time,Online,Multiple locations,25040,4
Queensland University of Technology,Bachelor of Interaction Design - Information Technology,Bachelor,Full-time,On Campus,"Brisbane, Queensland",9000,4
Curtin University,Bachelor of Criminology and Justice,Bachelor,Full-time,Blended,"Perth, Western Australia",16320,3
University of New South Wales,Bachelor of International Studies - Bachelor of Media,Bachelor,Full-time,Blended,"Kensington, New South Wales",16000,4
Deakin University,Bachelor of Nursing - Bachelor of Midwifery,Bachelor,Full-time,On Campus,"Melbourne, Victoria",5271,4
University of Adelaide,Bachelor of Art History and Visual Culture,Bachelor,Full-time,On Campus,"Adelaide, South Australia",11760,3
University of Queensland,Bachelor of Leadership and Management Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",14219,4
University of the Sunshine Coast,Bachelor of Environmental Science and Ecology,Bachelor,Full-time,On Campus,Multiple locations,13000,3
University of Melbourne,Bachelor of Agricultural Science - Agribusiness,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,4
Edith Cowan University,Bachelor of Science (Exercise and Sports Science) - Bachelor of Commerce (Sport Business),Bachelor,Full-time,On Campus,"Perth, Western Australia",13750,4
University of Tasmania,Bachelor of Gender and Diversity,Bachelor,Full-time,Online,Multiple locations,34250,3
University of Canberra,Bachelor of Business - Laws,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",16323,5
University of Sydney,Bachelor of Laws and Bachelor of Criminology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",16032,5
Murdoch University,Bachelor of Environmental Science and Management - Bachelor of Business,Bachelor,Full-time,On Campus,"Perth, Western Australia",39480,4
University of Wollongong,Bachelor of Environmental Science (Honours),Bachelor,Full-time,On Campus,"Wollongong, New South Wales",35472,4
University of Wollongong,Bachelor of Science (Dean's Scholar),Bachelor,Full-time,On Campus,"Wollongong, New South Wales",35472,4
Flinders University,Bachelor of Laws - Legal Practice Entry,Bachelor,Full-time,On Campus,"Adelaide, South Australia",16320,4
University of Adelaide,Bachelor of Business,Bachelor,Full-time,On Campus,"Adelaide, South Australia",15245,3
University of New England,Bachelor of Legal Studies,Bachelor,Full-time,On Campus,"Armidale, New South Wales",16141,3
University of South Australia,Bachelor of Social Science (Ageing and Disability),Bachelor,Full-time,On Campus,"Adelaide, South Australia",38300,3
University of New England,Bachelor of Property and Real Estate - Bachelor of Laws,Bachelor,Full-time,On Campus,"Armidale, New South Wales",16342,5
University of Newcastle,Bachelor of Psychological Science - Bachelor of Communication,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",41775,4
Murdoch University,Bachelor of Arts and Bachelor of Business,Bachelor,Full-time,On Campus,"Perth, Western Australia",25040,4
Curtin University,Bachelor of Philosophy (Physics),Bachelor,Full-time,On Campus,"Perth, Western Australia",16470,4
Stanley College,CHC52021 Diploma of Community Services,Diploma,Full-time,On Campus,Multiple locations,19800,2
Stanley College,SIT60322 Advanced Diploma of Hospitality Management (Food and Beverage Pathway),Advanced Diploma,Full-time,On Campus,"Perth, Western Australia",11000,1
Stanley College,BSB80120 Graduate Diploma of Management (Learning),Graduate Diploma,Full-time,On Campus,"Perth, Western Australia",9800,2
La Trobe College Australia,Diploma of Health Sciences,Diploma,Full-time,On Campus,"Melbourne, Victoria",28928,8 month
La Trobe College Australia,Diploma of IT,Diploma,Full-time,On Campus,"Sydney, New South Wales",25568,8 month
University of Canberra College,Diploma of Design,Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",30000,1
University of Western Australia,Graduate Diploma of Nursing (Gerontology),Graduate Diploma,Full-time,On Campus,"Darwin, Northern Territory",32352,1
Stanley College,SIT60322 Advanced Diploma of Hospitality Management (Commercial Cookery Pathway),Advanced Diploma,Full-time,On Campus,"Perth, Western Australia",11000,1
Charles Darwin University,Graduate Diploma of Alcohol and Other Drugs Practice,Graduate Diploma,Full-time,On Campus,"Darwin, Northern Territory",32352,1
CQUniversity,Graduate Diploma of Mental Health Nursing,Graduate Diploma,Full-time,Online,Multiple locations,16836,1
Torrens University Australia,Graduate Diploma of Business (Marketing),Graduate Diploma,Full-time,On Campus,Multiple locations,2425,1
Queensland University of Technology,Graduate Diploma of Nursing (Clinical Education),Graduate Diploma,Full-time,On Campus,"Brisbane, Queensland",31700,1
Charles Darwin University,Graduate Diploma of Network Engineering,Graduate Diploma,Full-time,On Campus,"Darwin, Northern Territory",31688,1
University of Canberra,Graduate Diploma of Information Technology,Graduate Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",25900,1
Southern Cross University,Graduate Diploma of Business,Graduate Diploma,Full-time,On Campus,Multiple locations,31920,1
Torrens University Australia,Graduate Diploma of 3D Design and Animation,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",24483,1.5
University of Southern Queensland,Graduate Diploma of Nursing (Gerontology),Graduate Diploma,Part-time,Online,Multiple locations,26640,2
University of Southern Queensland,Diploma in Arts Extended - Pathway to Teaching Birth-5-Birth-12,Diploma,Full-time,On Campus,"Paramatta, New South Wales",19285,1.5
Western Sydney University,Diploma of Business,Diploma,Full-time,On Campus,"Paramatta, New South Wales",19800,1
University of Canberra College,Diploma in Science Extended,Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",23520,1.5
University of Southern Queensland,Diploma in Construction Technology Extended,Diploma,Full-time,On Campus,Multiple locations,27540,1
Torrens University Australia,Diploma in Creative Industries,Diploma,Full-time,On Campus,"Melbourne, Victoria",24250,1
Queensland University of Technology,Graduate Diploma of Property Economics,Graduate Diploma,Full-time,On Campus,"Brisbane, Queensland",30000,1
University of Western Australia,Graduate Diploma of Nursing (Advanced Practice),Graduate Diploma,Full-time,On Campus,"Perth, Western Australia",34720,1
Flinders University,Graduate Diploma of Disability and Inclusion,Graduate Diploma,Full-time,On Campus,"Adelaide, South Australia",29000,1
University of Melbourne,Graduate Diploma of Agribusiness,Graduate Diploma,Full-time,On Campus,"Melbourne, Victoria",34840,1
University of Tasmania,Graduate Diploma of Environmental Science,Graduate Diploma,Full-time,On Campus,"Hobart, Tasmania",32780,1
University of Queensland,Graduate Diploma of Psychology (Advanced),Graduate Diploma,Full-time,On Campus,"Brisbane, Queensland",37600,1
University of Adelaide,Graduate Diploma of Wine Business,Graduate Diploma,Full-time,On Campus,"Adelaide, South Australia",34000,1
University of New England,Graduate Diploma of Data Science,Graduate Diploma,Full-time,On Campus,"Armidale, New South Wales",29800,1
University of Wollongong,Graduate Diploma of Engineering Asset Management,Graduate Diploma,Full-time,On Campus,"Wollongong, New South Wales",37000,1
University of South Australia,Graduate Diploma of Social Work,Graduate Diploma,Full-time,On Campus,"Adelaide, South Australia",30950,1
University of New South Wales,Graduate Diploma of Cyber Security,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",39200,1
La Trobe University,Graduate Diploma of Occupational Therapy,Graduate Diploma,Full-time,On Campus,"Melbourne, Victoria",38800,1
University of Canberra,Graduate Diploma of Public Health,Graduate Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",35500,1
Macquarie University,Graduate Diploma of Applied Finance,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",33500,1
Stanley College,SIT60322 Advanced Diploma of Hospitality Management (Commercial Cookery Pathway),Advanced Diploma,Full-time,"Online, On Campus","Perth, Western Australia",11000,1
Stanley College,CHC52021 Diploma of Community Services,Diploma,Full-time,On Campus,"Perth, Western Australia",19800,1
Charles Darwin University,Graduate Diploma of Nursing (Clinical Education),Graduate Diploma,Full-time,On Campus,"Darwin, Northern Territory",32352,1
University of Southern Queensland,Graduate Diploma of Mental Health Nursing,Graduate Diploma,"Full-time, Part-time",Online,Multiple Locations,16836,1
Torrens University Australia,Graduate Diploma of Business (Marketing),Graduate Diploma,"Full-time, Part-time","Online, On Campus, Blended",Multiple Locations,2425,Per module
Stanley College,CHC50121 Diploma of Early Childhood Education and Care,Diploma,Full-time,On Campus,"Perth, Western Australia",9800,1
Charles Darwin University,Graduate Diploma of Arts,Graduate Diploma,Full-time,On Campus,"Darwin, Northern Territory",27096,1
University of Newcastle,Diploma of Computing and IT Studies,Diploma,Full-time,On Campus,"Newcastle, New South Wales",55400,8 month
Murdoch University,Graduate Diploma of Science (Agriculture),Graduate Diploma,Full-time,On Campus,"Perth, Western Australia",23800,1
Southern Cross University,Graduate Diploma of Business,Graduate Diploma,"Full-time, Part-time",On Campus,Multiple Locations,31920,1
University of South Australia,Graduate Diploma of Network Engineering,Graduate Diploma,Full-time,On Campus,"Adelaide, South Australia",31688,1
Curtin University,Graduate Diploma of Information Technology (Cyber Security),Graduate Diploma,Full-time,On Campus,Multiple Locations,27800,1
Victoria University,Diploma of Health Science,Diploma,Full-time,On Campus,"Melbourne, Victoria",21000,1
Monash University,Graduate Diploma of Digital Health,Graduate Diploma,Full-time,Online,"Melbourne, Victoria",28700,1
La Trobe University,Diploma of Business,Diploma,Full-time,On Campus,"Melbourne, Victoria",23500,1
University of Melbourne,Graduate Diploma of Teaching (Secondary),Graduate Diploma,Full-time,On Campus,"Melbourne, Victoria",34500,1
Flinders University,Graduate Diploma of Public Health,Graduate Diploma,"Full-time, Part-time",Online,"Adelaide, South Australia",22500,1
University of Wollongong,Diploma of Science,Diploma,Full-time,On Campus,"Wollongong, New South Wales",24000,1
University of Western Australia,Graduate Diploma of Environmental Science,Graduate Diploma,Full-time,On Campus,"Perth, Western Australia",28500,1
University of Queensland,Graduate Diploma of Business Administration,Graduate Diploma,"Full-time, Part-time",On Campus,"Brisbane, Queensland",35600,1
University of Canberra,Graduate Diploma of Information Technology,Graduate Diploma,"Full-time, Part-time",On Campus,"Canberra, Australian Capital Territory",29800,1
Griffith University,Graduate Diploma of Criminology and Criminal Justice,Graduate Diploma,"Full-time, Part-time",Online,"Brisbane, Queensland",32000,1
University of Technology Sydney,Graduate Diploma of Strategic Communication,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",32000,1
Western Sydney University,Graduate Diploma of Project Management,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",29800,1
University of New South Wales,Graduate Diploma of Environmental Management,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",32800,1
Australian National University,Graduate Diploma of Diplomacy,Graduate Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",36500,1
Deakin University,Graduate Diploma of Property,Graduate Diploma,Full-time,On Campus,"Melbourne, Victoria",28700,1
RMIT University,Graduate Diploma of Digital Media,Graduate Diploma,Full-time,On Campus,"Melbourne, Victoria",33000,1
Stanley College,SIT60322 Advanced Diploma of Hospitality Management (Food and Beverage Pathway),Advanced Diploma,"Full-time, Part-time","Online, On Campus","Perth, Western Australia",11000,1
CQUniversity Australia,Graduate Diploma of Mental Health Nursing,Graduate Diploma,"Full-time, Part-time",Online,Online,16836,1
University of Southern Queensland,Graduate Diploma of Nursing (Gerontology),Graduate Diploma,Part-time,Online,Online,26640,2
University of Southern Queensland,Graduate Diploma of Nursing (Clinical Education),Graduate Diploma,Part-time,Online,Online,26640,2
Curtin University,ICT50220 Diploma of Information Technology (Cyber Security),Diploma,Full-time,On Campus,Multiple Locations,25000,1
University of Canberra College,CHC52021 Diploma of Community Services,Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",15500,2
Stanley College,CHC50121 Diploma of Early Childhood Education and Care,Diploma,"Full-time, Part-time","Online, On Campus","Perth, Western Australia",10500,1.5
Stanley College,BSB50120 Diploma of Business,Diploma,Full-time,On Campus,"Perth, Western Australia",8500,1
University of New South Wales,Foundation Studies: Arts Standard Plus,Pre-Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",46000,1
University of Western Australia,UWA Foundation Program - Bachelor of Environmental Science and Bachelor of Arts - Contemporary Popular Music,Pre-Bachelor,Full-time,On Campus,"Perth, Western Australia",33600,8 month
University of Western Australia,Diploma of Business,Diploma,Full-time,On Campus,"Perth, Western Australia",28000,1
Stanley College,Diploma of Computing and IT Studies,Diploma,Full-time,On Campus,"Perth, Western Australia",55400,8 month
University of Newcastle,Diploma of Arts,Diploma,Full-time,On Campus,"Newcastle, New South Wales",23400,1
Curtin University,Diploma of Communication,Diploma,Full-time,On Campus,Multiple Locations,26400,1
Stanley College,Diploma of Information and Communications Technology Extended,Diploma,Full-time,On Campus,"Perth, Western Australia",48500,1.5
University of Southern Queensland,Diploma of Business (Online),Diploma,Part-time,Online,Online,20400,1
University of Southern Queensland,Diploma of Nursing (Online),Diploma,Part-time,Online,Online,21600,2
University of New South Wales,Graduate Diploma in Cyber Security,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",34000,1
Stanley College,Advanced Diploma of Business (International Trade),Advanced Diploma,Full-time,On Campus,"Perth, Western Australia",40000,1.5
University of Southern Queensland,Graduate Diploma in Professional Accounting,Graduate Diploma,Full-time,On Campus,"Brisbane, Queensland",33000,1
University of Western Australia,Diploma in Project Management,Diploma,Full-time,On Campus,"Perth, Western Australia",31000,1
University of Canberra,Graduate Diploma of Legal Practice,Graduate Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",26500,1
University of Melbourne,Diploma in Agriculture,Diploma,Full-time,On Campus,"Melbourne, Victoria",22500,1
University of Technology Sydney,Graduate Diploma in Creative Arts,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",36500,1
Torrens University,Graduate Diploma of Business Administration,Graduate Diploma,Full-time,On Campus,"Sydney, New South Wales",29500,1
University of Southern Queensland,Graduate Diploma of Mental Health Practice,Graduate Diploma,Full-time,On Campus,"Brisbane, Queensland",32000,1
Torrens University Australia,Graduate Diploma of 3D Design and Animation,Graduate Diploma,"Full-time, Part-time","Online, On Campus, Blended","Sydney, New South Wales",24483,1.5
University of Western Australia,CHC52021 Diploma of Community Services,Diploma,Full-time,On Campus,"Perth, Western Australia",33600,8 month
Torrens University Australia,Graduate Diploma of Business (Marketing),Graduate Diploma,"Full-time, Part-time","Online, On Campus, Blended",Multiple locations,2425,1
University of New South Wales,Foundation Studies: Arts Standard Plus,Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",46000,1
University of Western Australia,UWA Foundation Program - Bachelor of Arts - Science and Technology in Society,Diploma,Full-time,On Campus,"Perth, Western Australia",33600,8 month
University of Southern Queensland,Diploma of Computing and IT Studies,Diploma,Full-time,On Campus,Multiple locations,55400,8 month
Curtin University,Graduate Diploma of Cyber Security,Graduate Diploma,Full-time,On Campus,"Perth, Western Australia",34523,1
Stanley College,Diploma of Hospitality Management (Commercial Cookery Pathway),Diploma,Full-time,On Campus,"Perth, Western Australia",15000,2
Murdoch University,Graduate Diploma of Advanced Mathematics,Graduate Diploma,Full-time,On Campus,"Perth, Western Australia",6807,4
Flinders University,Graduate Diploma of Engineering Science,Graduate Diploma,Full-time,On Campus,"Adelaide, South Australia",8944,3
University of Western Australia,CHC50121 Diploma of Early Childhood Education and Care,Diploma,Full-time,On Campus,"Perth, Western Australia",25000,2
University of Canberra,Graduate Diploma of Digital Experience and Interaction Design,Graduate Diploma,Full-time,On Campus,"Canberra, Australian Capital Territory",30000,1
Swinburne University of Technology,Graduate Diploma of Film and Television,Graduate Diploma,Full-time,On Campus,"Melbourne, Victoria",16323,4
University of Southern Queensland,Graduate Diploma of Business (Accounting),Graduate Diploma,Full-time,On Campus,Multiple locations,24800,3
Stanley College,Diploma of Communication,Diploma,Full-time,On Campus,"Perth, Western Australia",18000,1
University of Melbourne,Diploma of Arts,Diploma,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of South Australia,Graduate Diploma of Mental Health,Graduate Diploma,Full-time,On Campus,"Adelaide, South Australia",29000,2
Griffith University,Diploma of Criminology,Diploma,Full-time,On Campus,"Brisbane, Queensland",28000,1
University of Newcastle,Graduate Diploma of Applied Finance,Graduate Diploma,Full-time,On Campus,"Newcastle, New South Wales",32000,1
Monash University,Diploma of Health and Physical Education,Diploma,Full-time,On Campus,"Melbourne, Victoria",35000,3
La Trobe University,Graduate Diploma of Agricultural Science,Graduate Diploma,Full-time,On Campus,"Melbourne, Victoria",33000,1
Stanley College,Advanced Diploma of Hospitality Management (Food and Beverage Pathway),Advanced Diploma,"Full-time, Part-time","On Campus, Online","Perth, Western Australia",11000,1
Stanley College,Graduate Diploma of Management (Learning),Graduate Diploma,Full-time,On Campus,"Perth, Western Australia",9800,2
Charles Darwin University,Graduate Diploma in Alcohol and Other Drugs Practice,Graduate Diploma,Full-time,On Campus,"Darwin, Northern Territory",32352,1
Torrens University Australia,Graduate Diploma of Digital Experience and Interaction Design,Graduate Diploma,"Full-time, Part-time",On Campus,"Sydney, New South Wales",24483,1.5
Southern Cross University,Bachelor of Business in Hotel Management,Bachelor,Full-time,On Campus,Multiple locations,31864,3
Flinders University,Bachelor of Creative Arts (Screen),Bachelor,Full-time,On Campus,"Adelaide, South Australia",15400,3
University of New South Wales,Bachelor of Music - Bachelor of Commerce,Bachelor,Full-time,Blended,"Kensington, New South Wales",12000,4
University of Southern Queensland,Bachelor of Creative Arts and Community Wellbeing (Visual Art),Bachelor,Full-time,"Online, On Campus","Toowoomba, Queensland",25760,3
Murdoch University,Bachelor of Criminology and Bachelor of Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",13502,4
Flinders University,Bachelor of Inclusive and Specialised Education (Early Childhood),Bachelor,Full-time,On Campus,"Adelaide, South Australia",4400,4
Deakin University,"Bachelor of Film, Television, and Animation",Bachelor,Full-time,On Campus,"Melbourne, Victoria",14725,3
University of Wollongong,Bachelor of Education (The Early Years),Bachelor,Full-time,On Campus,"Wollongong, New South Wales",30528,4
University of Tasmania,Bachelor of Science - Bachelor of Engineering (Honours),Bachelor,Full-time,On Campus,Multiple locations,38950,5
University of Queensland,Bachelor of Mathematics - Arts,Bachelor,Full-time,On Campus,"Brisbane, Queensland",8458,4
University of New South Wales,Bachelor of Science - Bachelor of Education (Secondary),Bachelor,Full-time,Blended,"Kensington, New South Wales",7500,4
Curtin University,Bachelor of Education (Primary Education),Bachelor,Full-time,On Campus,"Perth, Western Australia",32411,4
Edith Cowan University,Bachelor of Technology - Engineering,Bachelor,Full-time,On Campus,"Joondalup, Western Australia",8150,3
University of Canberra,Bachelor of Business Informatics,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",16323,3
University of Tasmania,Bachelor of Arts - Earth and Planetary Sciences (Honours),Bachelor,Full-time,On Campus,Multiple locations,34250,3
University of Wollongong,Bachelor of Primary Education,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",31440,4
University of Southern Queensland,Bachelor of Mathematics and Statistics,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",23000,4
Western Sydney University,Bachelor of Science in Information Technology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",28000,3
Bond University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",30000,3
University of the Sunshine Coast,Bachelor of Communication Design,Bachelor,Full-time,On Campus,"Sippy Downs, Queensland",24000,4
University of Notre Dame,Bachelor of Laws,Bachelor,Full-time,On Campus,"Fremantle, Western Australia",33000,4
James Cook University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",28500,3
Australian Catholic University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,4
Griffith University,Bachelor of Animation,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
La Trobe University,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",27000,3
Macquarie University,Bachelor of Business Administration,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
RMIT University,Bachelor of Design (Digital Media),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Swinburne University of Technology,Bachelor of Social Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",25000,3
University of Sydney,Bachelor of Engineering (Honours) - Biomedical Engineering,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36600,5
University of Melbourne,Bachelor of Biomedicine - Human Structure and Function,Bachelor,Full-time,On Campus,"Melbourne, Victoria",59851,3
University of Newcastle,Bachelor of Environmental Science and Management - Bachelor of Business,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",39480,4
Western Sydney University,Bachelor of Criminology and Bachelor of Laws,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33960,5
Murdoch University,Bachelor of Laws and Bachelor of Criminology,Bachelor,Full-time,On Campus,"Perth, Western Australia",16032,5
University of New South Wales,Bachelor of International Studies - Bachelor of Media (Screen and Sound Production),Bachelor,Full-time,Blended,"Sydney, New South Wales",16000,4
Edith Cowan University,Bachelor of Science (Exercise and Sports Science) - Bachelor of Commerce (Sport Business),Bachelor,Full-time,On Campus,Multiple locations,13750,4
University of Adelaide,Bachelor of Engineering with Mathematical and Computer Sciences,Bachelor,Full-time,On Campus,"Adelaide, South Australia",36672,4
Flinders University,Bachelor of Languages,Bachelor,Full-time,On Campus,"Adelaide, South Australia",5600,3
University of Southern Queensland,Bachelor of Arts and Bachelor of Business,Bachelor,Full-time,Online,"Toowoomba, Queensland",25040,4
Curtin University,Bachelor of Science (Science) - Bachelor of Commerce,Bachelor,Full-time,On Campus,"Perth, Western Australia",12600,4
Queensland University of Technology,Bachelor of Education (Early Childhood),Bachelor,Full-time,Online,"Brisbane, Queensland",4500,4
University of New South Wales,Bachelor of Science - Bachelor of Education (Secondary),Bachelor,Full-time,Blended,"Sydney, New South Wales",7500,4
Swinburne University of Technology,Bachelor of Business - Accounting and Financial Planning,Bachelor,Full-time,Online,"Melbourne, Victoria",16323,3
University of Melbourne,Bachelor of Fine Arts (Acting),Bachelor,Full-time,On Campus,"Melbourne, Victoria",25000,3
University of Western Australia,Bachelor of Science (Engineering Science),Bachelor,Full-time,On Campus,"Perth, Western Australia",33600,4
Macquarie University,Bachelor of Psychological Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Sydney,Bachelor of Liberal Arts and Science,Bachelor,Full-time,On Campus,"Sydney, New South Wales",12720,3
Australian National University,Bachelor of International Security Studies,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",39500,3
University of Technology Sydney,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
La Trobe University,Bachelor of Sport Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria",14786,3
University of Tasmania,Bachelor of Marine and Antarctic Science,Bachelor,Full-time,On Campus,"Hobart, Tasmania",35200,3
University of Canberra,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",35000,3
Charles Sturt University,Bachelor of Business (Marketing),Bachelor,Full-time,Online,"Wagga Wagga, New South Wales",16000,3
Bond University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",39800,3
Deakin University,Bachelor of Commerce - Accounting,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35200,3
Griffith University,Bachelor of Design - Visual Communication,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34500,3
University of South Australia,Bachelor of Engineering (Civil and Infrastructure),Bachelor,Full-time,On Campus,"Adelaide, South Australia",36400,4
University of the Sunshine Coast,"Bachelor of Business (Tourism, Leisure and Event Management)",Bachelor,Full-time,On Campus,"Sunshine Coast, Queensland",33500,3
University of Melbourne,Bachelor of Science - Environmental Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Sydney,Bachelor of Arts - Sociology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",30000,3
University of Queensland,Bachelor of Business Management,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
University of New South Wales,Bachelor of Engineering - Civil Engineering,Bachelor,Full-time,On Campus,"Kensington, New South Wales",35000,4
Australian National University,"Bachelor of Philosophy (Honours) - Philosophy, Politics, and Economics",Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,4
Monash University,Bachelor of Psychology,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
RMIT University,Bachelor of Design - Digital Media,Bachelor,Full-time,On Campus,"Melbourne, Victoria",30000,3
University of Technology Sydney,Bachelor of Science - Biotechnology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Macquarie University,Bachelor of Media - Screen Production,Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
Curtin University,Bachelor of Commerce - Accounting,Bachelor,Full-time,On Campus,"Perth, Western Australia",30000,3
University of South Australia,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29000,4
Deakin University,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Geelong, Victoria",31000,3
La Trobe University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Griffith University,Bachelor of Criminal Justice,Bachelor,Full-time,On Campus,"Brisbane, Queensland",29000,3
Flinders University,Bachelor of Law,Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,4
Charles Sturt University,Bachelor of Paramedicine,Bachelor,Full-time,On Campus,"Bathurst, New South Wales",28000,3
Victoria University,Bachelor of Sport Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria",30000,3
Western Sydney University,Bachelor of Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",29000,3
James Cook University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",31000,3
University of Tasmania,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Hobart, Tasmania",30000,4
Swinburne University of Technology,Bachelor of Aviation,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
