University of Western Australia,Environmental Engineering,B.Eng.,Full-time,On Campus,"Perth, Western Australia, Australia","34,500",3
Macquarie University,Data Science (Advanced),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Victoria University,Music Industry,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
Bond University,Journalism (Honours),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,Construction Management (Advanced),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","31,500",3
Swinburne University of Technology,Physics (Applied),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Southern Queensland,Marine Biology (Advanced),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","33,500",3
University of Tasmania,Economics (Advanced),B.A.,Full-time,On Campus,"Hobart, Tasmania, Australia","30,000",3
University of Canberra,Sociology (Applied),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
Western Sydney University,Public Policy (Advanced),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Sydney,Cultural Studies,B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
University of Queensland,Genomics,B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","32,000",3
Monash University,Artificial Intelligence,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Melbourne,Creative Writing and Literature,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Griffith University,Environmental Geography,B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,000",3
Australian National University,Applied Economics,B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
RMIT University,Aerospace Engineering (Advanced),B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Technology Sydney,Data Engineering,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Adelaide,Public Policy and Administration,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","31,000",3
La Trobe University,Exercise Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","29,500",3
University of Western Australia,Geology (Advanced),B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","31,500",3
Macquarie University,Climate Change and Sustainability,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
Victoria University,Public Relations and Media,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,International Business Law,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","32,500",3
University of Newcastle,Health Psychology,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","30,000",3
Swinburne University of Technology,Construction Management (Advanced),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Southern Queensland,Renewable Energy Science,B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","32,000",3
University of Tasmania,Environmental Policy,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","30,500",3
University of Canberra,Urban Planning (Advanced),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
Western Sydney University,Cybersecurity (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
University of Queensland,Advanced Computer Science,B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","33,500",3
University of Sydney,Public Health and Policy,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Monash University,Law and Ethics (Advanced),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Melbourne,Art and Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
Griffith University,Human Biology,B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,International Development,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,000",3
RMIT University,Strategic Marketing,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Technology Sydney,Software Engineering,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Adelaide,Biophysics,B.Sc.,Full-time,On Campus,"Adelaide, South Australia, Australia","32,000",3
La Trobe University,Media and Communication (Advanced),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Environmental Conservation,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","31,500",3
Macquarie University,Digital Arts,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Victoria University,Leadership and Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Bond University,Film and Television (Advanced),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,International Relations (Advanced),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","33,500",3
Swinburne University of Technology,Physics (Astrophysics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Southern Queensland,Ecology and Biodiversity,B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","32,000",3
University of Tasmania,Economics (Applied),B.A.,Full-time,On Campus,"Hobart, Tasmania, Australia","30,500",3
University of Canberra,Social Work (Honours),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
Western Sydney University,Digital Media (Advanced),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Sydney,Economics (Sustainable Development),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
University of Queensland,Artificial Intelligence (Applied),B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","32,000",3
Monash University,Data Science (Cybersecurity),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Melbourne,Film Studies (Advanced),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
Griffith University,Nursing and Public Health,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Creative Writing and Media,B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,000",3
RMIT University,Urban Development,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Technology Sydney,Cybersecurity and Cloud Computing,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Adelaide,Psychology (Clinical),Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","32,500",3
La Trobe University,Political Science and History,B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Western Australia,Sustainability Science (Advanced),B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","31,000",3
Macquarie University,Business and Leadership,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Victoria University,Marine Science (Advanced),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,Digital Media and Marketing,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,Music Composition (Advanced),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","31,500",3
Swinburne University of Technology,Environmental Management (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Southern Queensland,Finance (Sustainable Investment),Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","30,000",3
University of Tasmania,Economics (Honours),B.A.,Full-time,On Campus,"Hobart, Tasmania, Australia","30,500",3
University of Canberra,Law and Society (Advanced),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
Western Sydney University,Sports Psychology,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Queensland,Architecture (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","32,000",3
University of Sydney,Information Systems and Business Analytics,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
Monash University,Law (International Focus),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","34,000",3
University of Melbourne,Creative Industries (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
Griffith University,Environmental Studies (Climate Focus),B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Political Science (International Focus),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Media and Public Relations,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Technology Sydney,Engineering (Civil),B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,500",3
University of Adelaide,Mathematics and Statistics,B.Sc.,Full-time,On Campus,"Adelaide, South Australia, Australia","30,500",3
La Trobe University,Sociology (Global Issues),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Western Australia,Ecology and Conservation,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","31,500",3
Macquarie University,International Business (Advanced),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
Victoria University,Film and Media Studies,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,Digital Marketing (Honours),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,000",3
University of Newcastle,Human Biology (Advanced),B.Sc.,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,000",3
Swinburne University of Technology,Cybersecurity (Honours),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Southern Queensland,Health and Social Care,Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","30,000",3
University of Tasmania,Agricultural Science (Sustainable Focus),B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","30,500",3
University of Canberra,Criminology and Justice,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
Western Sydney University,Veterinary Medicine (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Sydney,Neuroscience,B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Queensland,Biotechnology (Honours),B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","31,500",3
Monash University,Physics (Honours),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Melbourne,Law (Environmental Focus),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Griffith University,Psychology (Organizational Focus),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,000",3
Australian National University,Public Administration,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
RMIT University,Information Systems (Advanced),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Technology Sydney,Civil Engineering (Honours),B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,500",3
University of Adelaide,Sociology (Contemporary Issues),B.A.,Full-time,On Campus,"Adelaide, South Australia, Australia","30,500",3
La Trobe University,Cognitive Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Western Australia,Philosophy and Ethics,B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","31,500",3
Macquarie University,Marketing (Advanced),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Victoria University,Sustainable Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
Bond University,International Politics,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,Music and Performing Arts,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,500",3
Swinburne University of Technology,Criminal Justice and Psychology,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Southern Queensland,Data Science (Machine Learning),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","31,500",3
University of Tasmania,Business Analytics,Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","31,000",3
University of Canberra,International Law (Advanced),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
Western Sydney University,Creative Industries (Applied),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
University of Queensland,Architecture (Urban Design),Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","33,500",3
University of Sydney,Computer Science (Data Focus),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Monash University,Journalism and Media Studies,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Melbourne,Environmental Science (Marine Focus),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
Griffith University,Sports Management (Advanced),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,International Law (Human Rights),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Digital Art and Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Technology Sydney,Software Engineering (Cybersecurity),B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,500",3
University of Adelaide,Public Health (Nutrition Focus),Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","30,500",3
La Trobe University,Mathematics and Physics,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
University of Western Australia,Geophysics,B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","32,000",3
Macquarie University,Anthropology (Advanced),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
Victoria University,Business and Law,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
Bond University,Public Policy (Global),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,500",3
University of Newcastle,Music Composition (Film Scoring),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,500",3
Swinburne University of Technology,Criminal Justice (Forensics),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Southern Queensland,Psychology (Behavioral Science),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","32,500",3
University of Tasmania,Agricultural Science (Water Focus),B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","31,500",3
University of Canberra,Sociology (Criminology Focus),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,000",3
Western Sydney University,Creative Writing (Screenwriting),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Sydney,Information Systems (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Queensland,Economics (Development Focus),B.A.,Full-time,On Campus,"Brisbane, Queensland, Australia","31,500",3
Monash University,Biotechnology (Medical),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Melbourne,Geography (Urban Studies),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
Griffith University,Sociology (Migration Focus),B.A.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,000",3
Australian National University,International Relations (Advanced),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","32,000",3
RMIT University,Media Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Technology Sydney,Health Science (Community Health),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Adelaide,Creative Writing (Fiction),B.A.,Full-time,On Campus,"Adelaide, South Australia, Australia","30,000",3
La Trobe University,Mathematics (Pure),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Marine Biology (Advanced),B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","32,500",3
Macquarie University,Law (Corporate),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Victoria University,Public Policy and Administration (Advanced),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
Bond University,Creative Industries (Advanced),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,000",3
University of Newcastle,Economics and Business,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","30,000",3
Swinburne University of Technology,Marketing (Strategic),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Southern Queensland,Physics (Theoretical),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","31,000",3
University of Tasmania,Public Health and Policy (Honours),Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","31,500",3
University of Canberra,Digital Media (Interactive),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
Western Sydney University,Sustainable Design (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Queensland,Digital Arts (Advanced),Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","31,500",3
University of Sydney,Marine Ecology (Honours),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Monash University,Artificial Intelligence (Honours),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Melbourne,Creative Media (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Griffith University,Public Health (Global Health),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Law and Technology (Advanced),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
RMIT University,Media Studies (Applied),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
University of Technology Sydney,Robotics and Automation (Honours),B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Adelaide,Economics (Policy Focus),B.A.,Full-time,On Campus,"Adelaide, South Australia, Australia","31,500",3
La Trobe University,International Relations (Peace Studies),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Western Australia,Law (Advanced),Bachelor,Full-time,On Campus,"Perth, Western Australia, Australia","32,500",3
Macquarie University,Environmental Science (Climate Change),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Victoria University,Political Science (Governance),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,Music (Honours),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,500",3
University of Newcastle,Creative Writing (Poetry),B.A.,Full-time,On Campus,"Newcastle, New South Wales, Australia","30,000",3
Swinburne University of Technology,Film and Television (Digital Production),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Southern Queensland,Physics (Particle Physics),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","31,000",3
University of Tasmania,Law (Global Focus),Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","31,500",3
University of Canberra,Public Policy (Honours),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
Western Sydney University,Sports Management (International),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Sydney,Music Production,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
University of Queensland,Human Biology (Genetics),B.Sc.,Full-time,On Campus,"Brisbane, Queensland, Australia","32,000",3
Monash University,Marine Science (Advanced),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Melbourne,Digital Media (Animation),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Griffith University,Political Science (Human Rights),B.A.,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,000",3
Australian National University,Philosophy (Applied),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
RMIT University,Cybersecurity (Cloud Specialization),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Technology Sydney,Physics (Quantum Mechanics),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Adelaide,Biochemistry (Molecular Biology),B.Sc.,Full-time,On Campus,"Adelaide, South Australia, Australia","32,500",3
La Trobe University,Journalism and Communications,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Law (Environmental Focus),Bachelor,Full-time,On Campus,"Perth, Western Australia, Australia","31,000",3
Macquarie University,Media and Society,B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
Victoria University,Business Economics (International),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
Bond University,Sociology (Global Development),B.A.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,Public Health (Advanced),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","30,500",3
Swinburne University of Technology,Creative Writing (Drama),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Southern Queensland,Mathematics (Applied),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","31,500",3
University of Tasmania,Data Science (Analytics),B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","32,000",3
University of Canberra,Public Relations (Strategic),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,000",3
Western Sydney University,Computer Science (Honours),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Queensland,Chemical Engineering (Bioprocessing),B.Eng.,Full-time,On Campus,"Brisbane, Queensland, Australia","33,500",3
University of Sydney,Anthropology (Cultural),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
Monash University,Public Health (Epidemiology),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Melbourne,Biochemistry (Cell Biology),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
Griffith University,Sports Management (Coaching),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Cybersecurity (Forensics),B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Mechanical Engineering (Energy Systems),B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Technology Sydney,Physics (Nuclear),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Adelaide,Marine Biology (Conservation),B.Sc.,Full-time,On Campus,"Adelaide, South Australia, Australia","31,500",3
La Trobe University,Film and Media (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,000",3
University of Western Australia,Creative Writing (Advanced),B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","30,500",3
Macquarie University,Political Science (Development),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
Victoria University,Economics (Honours),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
Bond University,Law (Business Focus),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,Sociology (Honours),B.A.,Full-time,On Campus,"Newcastle, New South Wales, Australia","31,000",3
Swinburne University of Technology,Veterinary Science (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,500",3
University of Southern Queensland,Data Science (Business Analytics),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","32,000",3
University of Tasmania,Mathematics (Honours),B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","31,000",3
University of Canberra,Public Relations (Corporate),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
Western Sydney University,International Relations (Advanced),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Sydney,Data Science (Honours),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Queensland,Political Science (Honours),B.A.,Full-time,On Campus,"Brisbane, Queensland, Australia","30,500",3
Monash University,Physics (Applied Physics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Melbourne,Architecture (Sustainable Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Griffith University,Digital Arts (Advanced),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,000",3
Australian National University,Criminology (Honours),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
RMIT University,Media and Communications (Advanced),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Technology Sydney,Veterinary Science (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Adelaide,International Relations (Global Focus),B.A.,Full-time,On Campus,"Adelaide, South Australia, Australia","31,000",3
La Trobe University,Marketing (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Western Australia,Sociology (Social Policy),B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","30,000",3
Macquarie University,Law (International Focus),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Victoria University,Environmental Science (Advanced),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
Bond University,Creative Industries (Advanced),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,Psychology (Advanced),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,000",3
Swinburne University of Technology,Film and Television (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Southern Queensland,Physics (Quantum),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","33,000",3
University of Tasmania,Health Science (Advanced),B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","30,500",3
University of Canberra,Public Policy (Sustainability),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
Western Sydney University,Music and Performance (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Queensland,Economics (Sustainability),B.A.,Full-time,On Campus,"Brisbane, Queensland, Australia","31,500",3
University of Sydney,Law (Climate Change),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
Monash University,Architecture (Design Focus),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","33,500",3
University of Melbourne,Sociology (Gender Studies),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Griffith University,Public Health (Honours),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,000",3
Australian National University,International Relations (Conflict Studies),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
RMIT University,Cybersecurity (Applied),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Technology Sydney,Physics (Particle Physics),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Adelaide,Environmental Law (Honours),Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","30,500",3
La Trobe University,Mathematics (Statistics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
University of Western Australia,Marine Ecology (Advanced),B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","32,500",3
Macquarie University,Digital Media (Advanced),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
Victoria University,Business Administration (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Newcastle,Film Studies (Cinematography),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,500",3
Swinburne University of Technology,Sports Management (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
University of Southern Queensland,Criminal Justice (Criminology Focus),Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","31,500",3
University of Tasmania,Data Science (AI Focus),B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","32,500",3
